0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8219
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8219
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8219
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:34 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8219
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:34 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:58 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8243
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:58 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:17:15 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8254
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:17:15 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:17:30 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8268
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:17:31 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:17:42 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:17:42 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:18:05 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8334
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:18:05 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
162.142.125.38 - - [10/Apr/2021:21:19:30 +0900] "-" 400 2101
162.142.125.38 - - [10/Apr/2021:21:19:32 +0900] "GET / HTTP/1.1" 404 807
162.142.125.38 - - [10/Apr/2021:21:19:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:55 +0900] "GET /project/productSummary2.jsp HTTP/1.1" 200 17044
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:55 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:55 +0900] "GET /project/address HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:55 +0900] "GET /project/resources/data/MOCK_DATA%20(2)5.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:56 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8334
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:56 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:57 +0900] "GET /project/productSummary2.jsp HTTP/1.1" 200 17044
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:57 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:50:57 +0900] "GET /project/address HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Apr/2021:21:53:11 +0900] "GET /project/productSummary2.jsp HTTP/1.1" 200 16725
